,COURSE,A%,B%
491,BUS-M 300,29.17,51.29
492,BUS-M 303,76.78,22.32
493,BUS-M 304,82.76,17.14
494,BUS-M 306,98.42,1.04
495,BUS-M 311,38.33,54.6
496,BUS-M 312,58.62,36.74
497,BUS-M 330,49.24,49.87
498,BUS-M 344,73.0,24.86
499,BUS-M 346,40.72,51.13
500,BUS-M 349,100.0,0.0
501,BUS-M 355,,
502,BUS-M 370,21.31,69.34
503,BUS-M 405,58.71,35.34
504,BUS-M 406,97.45,2.55
505,BUS-M 407,47.56,50.45
506,BUS-M 415,40.53,52.99
507,BUS-M 419,56.23,39.23
508,BUS-M 422,57.1,40.0
509,BUS-M 426,49.23,45.54
510,BUS-M 432,78.86,18.66
511,BUS-M 436,73.9,21.7
512,BUS-M 450,61.14,35.95
513,BUS-M 490,85.7,14.3
514,BUS-M 512,44.73,55.28
515,BUS-M 522,54.87,44.61
516,BUS-M 525,67.44,30.38
517,BUS-M 530,51.82,48.18
518,BUS-M 537,68.18,31.57
519,BUS-M 550,46.06,53.94
520,BUS-M 574,69.73,30.18
521,BUS-M 575,47.03,52.97
522,BUS-M 581,,
523,BUS-M 590,100.0,0.0
524,BUS-M 650,53.65,43.22
525,BUS-M 651,79.08,20.92
526,BUS-P 255,71.82,25.88
527,BUS-P 300,43.61,45.06
528,BUS-P 304,89.98,10.02
529,BUS-P 316,50.65,44.95
530,BUS-P 320,42.02,51.2
531,BUS-P 355,53.48,39.04
532,BUS-P 356,47.2,45.5
533,BUS-P 370,16.95,55.75
534,BUS-P 421,53.61,41.59
535,BUS-P 429,64.84,32.42
536,BUS-P 431,45.53,50.79
537,BUS-P 455,93.65,6.35
538,BUS-P 481,39.72,51.44
539,BUS-P 490,100.0,0.0
540,BUS-P 550,56.35,43.23
541,BUS-P 590,100.0,0.0
542,BUS-P 604,,
543,BUS-R 305,26.12,56.35
544,BUS-R 440,20.33,68.53
545,BUS-R 490,100.0,0.0
546,BUS-R 510,66.79,33.21
547,BUS-R 590,,
548,BUS-S 302,58.63,39.87
549,BUS-S 305,45.59,49.68
550,BUS-S 307,44.25,52.78
551,BUS-S 308,62.02,32.64
552,BUS-S 310,42.1,54.14
553,BUS-S 326,42.55,54.24
554,BUS-S 355,84.01,14.93
555,BUS-S 375,93.8,6.3
556,BUS-S 400,60.57,36.6
557,BUS-S 433,86.34,12.44
558,BUS-S 475,100.0,0.0
559,BUS-S 490,,
560,BUS-S 523,70.36,29.31
561,BUS-S 571,,
562,BUS-S 590,,
563,BUS-S 602,,
564,BUS-T 134,93.74,4.27
565,BUS-T 175,77.52,18.74
566,BUS-T 275,86.7,11.89
567,BUS-T 375,80.05,18.39
568,BUS-W 212,59.32,36.22
569,BUS-W 232,83.38,14.72
570,BUS-W 233,82.37,15.62
571,BUS-W 300,57.0,33.94
572,BUS-W 313,64.68,33.52
573,BUS-W 406,50.91,46.24
574,BUS-W 420,80.73,17.96
575,BUS-W 430,29.14,61.37
576,BUS-W 490,,
577,BUS-W 499,,
578,BUS-W 504,84.69,15.31
579,BUS-W 505,73.79,25.03
580,BUS-W 511,63.64,36.36
581,BUS-W 550,56.57,43.45
582,BUS-W 574,65.35,34.65
583,BUS-W 590,98.13,1.87
584,BUS-W 610,100.0,0.0
585,BUS-X 100,34.05,43.51
586,BUS-X 170,91.69,7.32
587,BUS-X 333,55.85,43.46
588,BUS-X 403,100.0,0.0
589,BUS-X 404,91.03,8.97
590,BUS-X 419,67.72,32.28
591,BUS-X 496,96.42,3.58
592,BUS-X 498,99.86,0.14
593,BUS-X 501,44.45,53.99
594,BUS-X 504,54.48,42.85
595,BUS-X 505,,
596,BUS-X 515,97.61,2.22
597,BUS-X 519,50.32,49.68
598,BUS-X 520,68.64,31.36
599,BUS-X 540,,
600,BUS-X 572,99.62,0.38
601,BUS-X 590,,
602,BUS-X 610,77.88,16.98
603,BUS-X 630,100.0,0.0
604,BUS-X 680,,
605,BUS-X 799,,
606,BUS-Z 302,35.51,52.46
607,BUS-Z 304,91.47,7.87
608,BUS-Z 340,49.21,46.48
609,BUS-Z 370,15.61,69.06
610,BUS-Z 404,57.42,40.3
611,BUS-Z 447,86.19,12.44
612,BUS-Z 480,,
613,BUS-Z 490,,
614,BUS-Z 494,91.76,8.09
615,BUS-Z 525,88.92,10.82
616,BUS-Z 590,,
617,BUS-Z 798,84.85,15.15
618,CEUS-G 599,,
619,CEUS-G 901,,
620,CEUS-R 270,52.66,38.21
621,CEUS-R 294,66.7,16.7
622,CEUS-R 329,57.35,12.25
623,CEUS-R 349,30.27,32.11
624,CEUS-R 351,80.39,16.66
625,CEUS-R 352,29.87,49.03
626,CEUS-R 362,,
627,CEUS-R 372,55.6,44.4
628,CEUS-R 385,,
629,CEUS-R 387,,
630,CEUS-R 392,,
631,CEUS-R 399,87.5,12.5
632,CEUS-R 414,,
633,CEUS-R 491,,
634,CEUS-R 529,93.75,6.25
635,CEUS-R 549,,
636,CEUS-R 551,100.0,0.0
637,CEUS-R 552,,
638,CEUS-R 562,,
639,CEUS-R 572,100.0,0.0
640,CEUS-R 585,,
641,CEUS-R 587,,
642,CEUS-R 592,,
643,CEUS-R 599,94.45,5.55
644,CEUS-R 600,,
645,CEUS-R 610,,
646,CEUS-R 614,88.9,11.1
647,CEUS-R 640,,
648,CEUS-R 650,,
649,CEUS-R 660,,
650,CEUS-R 666,,
651,CEUS-R 670,,
652,CEUS-R 680,,
653,CEUS-R 690,,
654,CEUS-R 691,,
655,CEUS-R 711,100.0,0.0
656,CEUS-R 890,,
657,CEUS-T 101,58.12,33.55
658,CEUS-T 103,,
659,CEUS-T 111,,
660,CEUS-T 113,,
661,CEUS-T 131,,
662,CEUS-T 141,84.9,9.53
663,CEUS-T 151,79.12,15.8
664,CEUS-T 161,,
665,CEUS-T 171,50.0,16.7
666,CEUS-T 181,72.7,27.3
667,CEUS-T 198,71.4,28.6
668,CEUS-T 201,50.0,33.3
669,CEUS-T 203,,
670,CEUS-T 211,,
671,CEUS-T 213,,
672,CEUS-T 231,,
673,CEUS-T 241,71.4,0.0
674,CEUS-T 251,89.73,9.03
675,CEUS-T 261,,
676,CEUS-T 271,,
677,CEUS-T 281,100.0,0.0
678,CEUS-T 298,,
679,CEUS-T 301,,
680,CEUS-T 303,,
681,CEUS-T 311,,
682,CEUS-T 313,,
683,CEUS-T 331,,
684,CEUS-T 341,,
685,CEUS-T 351,,
686,CEUS-T 361,,
687,CEUS-T 364,,
688,CEUS-T 371,,
689,CEUS-T 381,78.55,21.45
690,CEUS-T 398,,
691,CEUS-T 493,88.9,11.1
692,CEUS-T 501,,
693,CEUS-T 503,,
694,CEUS-T 511,92.85,7.15
695,CEUS-T 513,,
696,CEUS-T 531,100.0,0.0
697,CEUS-T 541,90.27,9.73
698,CEUS-T 551,91.51,6.4
699,CEUS-T 561,84.13,15.87
700,CEUS-T 571,,
701,CEUS-T 581,,
702,CEUS-T 598,100.0,0.0
703,CEUS-T 601,,
704,CEUS-T 603,,
705,CEUS-T 611,,
706,CEUS-T 613,,
707,CEUS-T 623,100.0,0.0
708,CEUS-T 631,,
709,CEUS-T 641,,
710,CEUS-T 651,87.81,12.19
711,CEUS-T 661,,
712,CEUS-T 664,,
713,CEUS-T 671,,
714,CEUS-T 681,,
715,CEUS-T 698,,
716,CEUS-T 701,,
717,CEUS-T 703,,
718,CEUS-T 711,,
719,CEUS-T 713,,
720,CEUS-T 731,,
721,CEUS-T 741,,
722,CEUS-T 751,77.65,20.5
723,CEUS-T 761,,
724,CEUS-T 771,,
725,CEUS-T 781,100.0,0.0
726,CEUS-T 798,100.0,0.0
727,CEUS-X 490,,
728,CHEM-A 315,44.6,45.91
729,CHEM-A 800,86.93,13.07
730,CHEM-B 800,,
731,CHEM-C 100,37.28,38.81
732,CHEM-C 101,21.65,33.32
733,CHEM-C 103,24.05,39.5
734,CHEM-C 117,24.04,33.56
735,CHEM-C 118,33.71,43.58
736,CHEM-C 121,32.82,39.08
737,CHEM-C 127,29.43,45.89
738,CHEM-C 243,27.26,32.82
739,CHEM-C 317,54.99,37.36
740,CHEM-C 321,,
741,CHEM-C 341,22.72,29.32
742,CHEM-C 342,23.2,29.23
743,CHEM-C 343,30.27,48.43
744,CHEM-C 344,61.15,30.72
745,CHEM-C 360,39.12,38.52
746,CHEM-C 362,36.97,35.62
747,CHEM-C 383,33.46,33.13
748,CHEM-C 427,,
749,CHEM-C 430,43.24,34.81
750,CHEM-C 432,,
751,CHEM-C 443,26.35,65.08
752,CHEM-C 460,31.01,39.1
753,CHEM-C 483,35.69,37.18
754,CHEM-C 484,34.03,37.54
755,CHEM-C 485,42.79,29.61
756,CHEM-C 498,25.0,60.0
757,CHEM-C 500,80.2,18.32
758,CHEM-C 501,24.36,61.57
759,CHEM-C 502,39.97,57.43
760,CHEM-C 503,44.43,49.72
761,CHEM-C 540,43.27,49.34
762,CHEM-C 543,28.65,61.8
763,CHEM-C 561,50.35,40.51
764,CHEM-C 565,,
765,CHEM-C 567,64.0,31.68
766,CHEM-C 581,48.57,46.85
767,CHEM-C 582,40.31,56.43
768,CHEM-C 615,59.73,40.27
769,CHEM-C 634,42.11,51.73
770,CHEM-C 668,83.67,11.56
771,CHEM-C 680,81.66,18.34
772,CHEM-C 681,59.62,38.6
773,CHEM-C 682,87.5,9.38
774,CHEM-C 689,,
775,CHEM-C 810,,
776,CHEM-C 820,,
777,CHEM-C 830,,
778,CHEM-C 840,,
779,CHEM-C 860,,
780,CHEM-C 880,,
781,CHEM-G 599,,
782,CHEM-G 901,93.53,6.47
783,CHEM-M 501,56.98,40.22
784,CHEM-M 800,90.96,9.04
785,CHEM-N 330,30.87,42.19
786,CHEM-N 800,95.83,4.17
787,CHEM-P 800,100.0,0.0
788,CHEM-R 340,32.1,33.72
789,CHEM-R 800,50.0,50.0
790,CHEM-S 117,52.53,39.76
791,CHEM-S 342,50.54,38.5
792,CHEM-S 343,41.69,43.37
793,CHEM-T 540,,
794,CHEM-X 170,96.94,3.08
795,CHEM-X 371,99.23,0.77
796,CHEM-X 373,,
797,CHEM-X 399,91.86,8.14
798,CHEM-X 499,94.75,5.25
799,CJUS-G 901,,
800,CJUS-K 300,54.97,25.92
801,CJUS-P 100,30.87,41.46
802,CJUS-P 200,39.2,37.87
803,CJUS-P 290,33.53,35.65
804,CJUS-P 300,65.25,24.73
805,CJUS-P 301,36.33,36.69
806,CJUS-P 304,24.32,37.53
807,CJUS-P 305,33.46,45.09
808,CJUS-P 306,47.89,31.91
809,CJUS-P 314,59.05,27.08
810,CJUS-P 316,31.96,49.13
811,CJUS-P 371,34.7,47.39
812,CJUS-P 375,26.75,43.81
813,CJUS-P 380,39.05,30.7
814,CJUS-P 399,,
815,CJUS-P 407,40.83,36.07
816,CJUS-P 415,70.08,25.99
817,CJUS-P 420,13.34,38.75
818,CJUS-P 439,29.46,44.65
819,CJUS-P 499,,
820,CJUS-P 550,,
821,CJUS-P 594,85.42,14.58
822,CJUS-P 599,,
823,CJUS-P 680,88.46,10.44
824,CJUS-P 694,,
825,CJUS-P 794,,
826,CJUS-P 851,,
827,CJUS-P 855,,
828,CJUS-P 859,,
